Rank,No.,Name,Eff.,Fast,Spacial,Max DPS,Eff. HP,Max Damage,F&S Combo Dmg,Special% of Combo,Fast DPS,Special DPS,,
1,80,Mewtwo,100%,Psycho Cut,Psychic,31.52,235,741,575,60%,31.5,18.4,,
3,80,Mewtwo,100%,Psycho Cut,Hyper Beam,31.52,235,741,523,73%,31.5,12.3,,
4,75,Snorlax,100%,Lick,Body Slam,15.39,317,487,487,46%,12.6,19,,
2,80,Mewtwo,100%,Psycho Cut,Shadow Ball,31.52,235,741,410,58%,31.5,10.9,,
10,79,Dragonite,100%,Dragon Breath,Dragon Claw,17.48,211,369,369,44%,13.1,23.6,,
9,68,Vaporeon,100%,Water Gun,Aqua Tail,16.25,242,393,366,50%,16.2,14.2,,
11,75,Snorlax,75%,Zen Headbutt,Body Slam,11.51,317,364,364,57%,8.9,19,,
5,75,Snorlax,82%,Lick,Hyper Beam,12.61,317,399,355,54%,12.6,9.9,,
8,68,Vaporeon,100%,Water Gun,Hydro Pump,16.25,242,393,338,64%,16.2,11.2,,
6,75,Snorlax,82%,Lick,Earthquake,12.61,317,399,330,64%,12.6,8,,
17,66,Lapras,100%,Frost Breath,Blizzard,11.96,271,324,315,66%,12,11,,
21,81,Mew,100%,Pound,Psychic,12.98,240,312,312,40%,11.3,14.4,,
22,80,Mewtwo,41%,Confusion,Psychic,13.04,235,307,307,44%,9.6,18.4,,
29,75,Snorlax,60%,Zen Headbutt,Hyper Beam,9.23,317,292,292,65%,8.9,9.9,,
16,66,Lapras,100%,Frost Breath,Ice Beam,11.96,271,324,291,50%,12,9.7,,
25,76,Articuno,100%,Frost Breath,Blizzard,12.68,236,299,291,67%,12.7,11.7,,
13,33,Slowbro,100%,Water Gun,Psychic,16.09,207,333,286,51%,16.1,12.1,,
31,81,Mew,90%,Pound,Hurricane,11.7,240,281,281,60%,11.3,12.3,,
26,31,Golem,100%,Mud Shot,Stone Edge,16.73,175,293,276,66%,16.7,14.3,,
32,79,Dragonite,75%,Dragon Breath,Dragon Pulse,13.1,211,276,276,38%,13.1,13.1,,
30,75,Snorlax,58%,Zen Headbutt,Earthquake,8.89,317,281,273,73%,8.9,8,,
44,79,Dragonite,74%,Steel Wing,Dragon Claw,12.92,211,272,272,56%,9.6,23.6,,
20,3,Blastoise,100%,Water Gun,Hydro Pump,16.25,192,312,270,65%,16.2,11.2,,
23,76,Articuno,100%,Frost Breath,Ice Beam,12.68,236,299,270,53%,12.7,10.3,,
15,66,Lapras,100%,Frost Breath,Dragon Pulse,11.96,271,324,264,56%,12,7.9,,
39,81,Mew,87%,Pound,Thunder,11.35,240,273,261,57%,11.3,10.3,,
40,81,Mew,87%,Pound,Moonblast,11.35,240,273,257,59%,11.3,9.9,,
41,81,Mew,87%,Pound,Fire Blast,11.35,240,273,257,59%,11.3,9.9,,
37,81,Mew,87%,Pound,Earthquake,11.35,240,273,255,59%,11.3,9.7,,
48,38,Muk,100%,Poison Jab,Gunk Shot,11.74,217,255,255,68%,11.1,13.4,,
33,79,Dragonite,75%,Dragon Breath,Hyper Beam,13.1,211,276,253,54%,13.1,10.9,,
43,81,Mew,87%,Pound,Hyper Beam,11.35,240,273,252,55%,11.3,9.6,,
49,45,Exeggutor,100%,Zen Headbutt,Psychic,14.49,174,252,252,60%,14.1,15.1,,
34,26,Poliwrath,100%,Mud Shot,Hydro Pump,13.67,200,273,249,63%,13.7,10.9,,
42,81,Mew,87%,Pound,Solar Beam,11.35,240,273,247,57%,11.3,9.1,,
50,80,Mewtwo,33%,Confusion,Hyper Beam,10.52,235,247,247,59%,9.6,12.3,,
51,38,Muk,97%,Poison Jab,Sludge Wave,11.38,217,247,247,68%,11.1,12,,
38,81,Mew,87%,Pound,Dragon Pulse,11.35,240,273,242,44%,11.3,9.2,,
